"ORIGIN NET (mindspore)","TARGET NET (pytorch)","shape of orig","shape of target","result of allclose","ratio of allclose","cosine similarity","mean & max diffs"
"NN_Conv2d_538_forward_output","NN_Conv2d_538_forward_output","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"Functional_concat_36_forward_input.0.0","Torch_cat_36_forward_input.0.0","(10, 832, 14, 14)","(10, 832, 14, 14)","False","1.43%","0.04658","0.01145, 0.14673"
"Functional_concat_36_forward_input.0.1","Torch_cat_36_forward_input.0.1","(10, 32, 14, 14)","(10, 32, 14, 14)","False","2.24%","-0.19372","0.00272, 0.01205"
"","Torch_cat_36_forward_output","","(10, 864, 14, 14)","False","0.00%","nan","nan, nan"
"Functional_concat_36_forward_output","","(10, 864, 14, 14)","","False","0.00%","nan","nan, nan"
"NN_BatchNorm2d_539_forward_input.0","NN_BatchNorm2d_539_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_539_forward_output","NN_BatchNorm2d_539_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_540_forward_input.0","NN_BatchNorm2d_540_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_540_forward_output","NN_BatchNorm2d_540_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_541_forward_input.0","NN_BatchNorm2d_541_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_541_forward_output","NN_BatchNorm2d_541_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_542_forward_input.0","NN_BatchNorm2d_542_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_542_forward_output","NN_BatchNorm2d_542_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_543_forward_input.0","NN_BatchNorm2d_543_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_543_forward_output","NN_BatchNorm2d_543_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_544_forward_input.0","NN_BatchNorm2d_544_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_544_forward_output","NN_BatchNorm2d_544_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_545_forward_input.0","NN_BatchNorm2d_545_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"NN_BatchNorm2d_545_forward_output","NN_BatchNorm2d_545_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"Functional_relu_76_forward_input.0","Functional_relu_76_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","1.46%","0.04638","0.01113, 0.14673"
"Functional_relu_76_forward_output","Functional_relu_76_forward_output","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_539_forward_input.0","NN_Conv2d_539_forward_input.0","(10, 864, 14, 14)","(10, 864, 14, 14)","False","27.46%","0.32170","0.00739, 0.10097"
"NN_Conv2d_539_forward_output","NN_Conv2d_539_forward_output","(10, 128, 14, 14)","(10, 128, 14, 14)","False","0.92%","-0.01735","0.00641, 0.03730"
