"ORIGIN NET (mindspore)","TARGET NET (pytorch)"
"NN_Conv2d_116","NN_Conv2d_116"
"NN_Conv2d_117","NN_Conv2d_117"
"NN_Conv2d_118","NN_Conv2d_118"
"NN_Conv2d_119","NN_Conv2d_119"
"Functional_concat_8","Torch_cat_8
LAYER_features_dense_1_2
LAYER_features_dense_1_3_bn1"
"NN_BatchNorm2d_120","NN_BatchNorm2d_120"
"NN_BatchNorm2d_121","NN_BatchNorm2d_121"
"NN_BatchNorm2d_122","NN_BatchNorm2d_122"
"NN_BatchNorm2d_123","NN_BatchNorm2d_123"
"NN_BatchNorm2d_124","NN_BatchNorm2d_124"
"NN_BatchNorm2d_125","NN_BatchNorm2d_125"
"Functional_relu_19","Functional_relu_19"
"","LAYER_features_dense_1_3_conv1"
"NN_Conv2d_120","NN_Conv2d_120"
"NN_Conv2d_121","NN_Conv2d_121"
"NN_Conv2d_122","NN_Conv2d_122"
"NN_Conv2d_123","NN_Conv2d_123"
"NN_Conv2d_124","NN_Conv2d_124"
"NN_Conv2d_125","NN_Conv2d_125"
"","LAYER_features_dense_1_3_bn2"
"NN_BatchNorm2d_126","NN_BatchNorm2d_126"
"NN_BatchNorm2d_127","NN_BatchNorm2d_127"
"NN_BatchNorm2d_128","NN_BatchNorm2d_128"
"NN_BatchNorm2d_129","NN_BatchNorm2d_129"
"NN_BatchNorm2d_130","NN_BatchNorm2d_130"
"NN_BatchNorm2d_131","NN_BatchNorm2d_131"
"Functional_relu_20","Functional_relu_20"
"","LAYER_features_dense_1_3_conv2"
"NN_Conv2d_126","NN_Conv2d_126"
"NN_Conv2d_127","NN_Conv2d_127"
"NN_Conv2d_128","NN_Conv2d_128"
"NN_Conv2d_129","NN_Conv2d_129"
"NN_Conv2d_130","NN_Conv2d_130"
"NN_Conv2d_131","NN_Conv2d_131"
"Functional_concat_9","Torch_cat_9
LAYER_features_dense_1_3
LAYER_features_dense_1_4_bn1"
"NN_BatchNorm2d_132","NN_BatchNorm2d_132"
"NN_BatchNorm2d_133","NN_BatchNorm2d_133"
"NN_BatchNorm2d_134","NN_BatchNorm2d_134"
"NN_BatchNorm2d_135","NN_BatchNorm2d_135"
"NN_BatchNorm2d_136","NN_BatchNorm2d_136"
"NN_BatchNorm2d_137","NN_BatchNorm2d_137"
"Functional_relu_21","Functional_relu_21"
"","LAYER_features_dense_1_4_conv1"
"NN_Conv2d_132","NN_Conv2d_132"
"NN_Conv2d_133","NN_Conv2d_133"
"NN_Conv2d_134","NN_Conv2d_134"
"NN_Conv2d_135","NN_Conv2d_135"
"NN_Conv2d_136","NN_Conv2d_136"
"NN_Conv2d_137","NN_Conv2d_137"
"","LAYER_features_dense_1_4_bn2"
"NN_BatchNorm2d_138","NN_BatchNorm2d_138"
"NN_BatchNorm2d_139","NN_BatchNorm2d_139"
"NN_BatchNorm2d_140","NN_BatchNorm2d_140"
"NN_BatchNorm2d_141","NN_BatchNorm2d_141"
"NN_BatchNorm2d_142","NN_BatchNorm2d_142"
"NN_BatchNorm2d_143","NN_BatchNorm2d_143"
"Functional_relu_22","Functional_relu_22"
"","LAYER_features_dense_1_4_conv2"
"NN_Conv2d_138","NN_Conv2d_138"
"NN_Conv2d_139","NN_Conv2d_139"
"NN_Conv2d_140","NN_Conv2d_140"
"NN_Conv2d_141","NN_Conv2d_141"
"NN_Conv2d_142","NN_Conv2d_142"
"NN_Conv2d_143","NN_Conv2d_143"
"Functional_concat_10","Torch_cat_10
LAYER_features_dense_1_4
LAYER_features_dense_1_5_bn1"
"NN_BatchNorm2d_144","NN_BatchNorm2d_144"
"NN_BatchNorm2d_145","NN_BatchNorm2d_145"
"NN_BatchNorm2d_146","NN_BatchNorm2d_146"
"NN_BatchNorm2d_147","NN_BatchNorm2d_147"
"NN_BatchNorm2d_148","NN_BatchNorm2d_148"
"NN_BatchNorm2d_149","NN_BatchNorm2d_149"
"Functional_relu_23","Functional_relu_23"
"","LAYER_features_dense_1_5_conv1"
"NN_Conv2d_144","NN_Conv2d_144"
"NN_Conv2d_145","NN_Conv2d_145"
"NN_Conv2d_146","NN_Conv2d_146"
"NN_Conv2d_147","NN_Conv2d_147"
"NN_Conv2d_148","NN_Conv2d_148"
"NN_Conv2d_149","NN_Conv2d_149"
"","LAYER_features_dense_1_5_bn2"
"NN_BatchNorm2d_150","NN_BatchNorm2d_150"
"NN_BatchNorm2d_151","NN_BatchNorm2d_151"
"NN_BatchNorm2d_152","NN_BatchNorm2d_152"
"NN_BatchNorm2d_153","NN_BatchNorm2d_153"
"NN_BatchNorm2d_154","NN_BatchNorm2d_154"
"NN_BatchNorm2d_155","NN_BatchNorm2d_155"
"Functional_relu_24","Functional_relu_24"
"","LAYER_features_dense_1_5_conv2"
"NN_Conv2d_150","NN_Conv2d_150"
"NN_Conv2d_151","NN_Conv2d_151"
"NN_Conv2d_152","NN_Conv2d_152"
"NN_Conv2d_153","NN_Conv2d_153"
"NN_Conv2d_154","NN_Conv2d_154"
"NN_Conv2d_155","NN_Conv2d_155"
"Functional_concat_11","Torch_cat_11
LAYER_features_dense_1_5
LAYER_features_dense_1_6_bn1"
"NN_BatchNorm2d_156","NN_BatchNorm2d_156"
"NN_BatchNorm2d_157","NN_BatchNorm2d_157"
"NN_BatchNorm2d_158","NN_BatchNorm2d_158"
"NN_BatchNorm2d_159","NN_BatchNorm2d_159"
"NN_BatchNorm2d_160","NN_BatchNorm2d_160"
"NN_BatchNorm2d_161","NN_BatchNorm2d_161"
"Functional_relu_25","Functional_relu_25"
"","LAYER_features_dense_1_6_conv1"
"NN_Conv2d_156","NN_Conv2d_156"
"NN_Conv2d_157","NN_Conv2d_157"
"NN_Conv2d_158","NN_Conv2d_158"
"NN_Conv2d_159","NN_Conv2d_159"
"NN_Conv2d_160","NN_Conv2d_160"
"NN_Conv2d_161","NN_Conv2d_161"
"","LAYER_features_dense_1_6_bn2"
"NN_BatchNorm2d_162","NN_BatchNorm2d_162"
"NN_BatchNorm2d_163","NN_BatchNorm2d_163"
"NN_BatchNorm2d_164","NN_BatchNorm2d_164"
"NN_BatchNorm2d_165","NN_BatchNorm2d_165"
"NN_BatchNorm2d_166","NN_BatchNorm2d_166"
"NN_BatchNorm2d_167","NN_BatchNorm2d_167"
"Functional_relu_26","Functional_relu_26"
"","LAYER_features_dense_1_6_conv2"
"NN_Conv2d_162","NN_Conv2d_162"
"NN_Conv2d_163","NN_Conv2d_163"
"NN_Conv2d_164","NN_Conv2d_164"
"NN_Conv2d_165","NN_Conv2d_165"
"NN_Conv2d_166","NN_Conv2d_166"
"NN_Conv2d_167","NN_Conv2d_167"
"Functional_concat_12","Torch_cat_12
LAYER_features_dense_1_6
LAYER_features_dense_1_7_bn1"
"NN_BatchNorm2d_168","NN_BatchNorm2d_168"
"NN_BatchNorm2d_169","NN_BatchNorm2d_169"
"NN_BatchNorm2d_170","NN_BatchNorm2d_170"
"NN_BatchNorm2d_171","NN_BatchNorm2d_171"
"NN_BatchNorm2d_172","NN_BatchNorm2d_172"
"NN_BatchNorm2d_173","NN_BatchNorm2d_173"
"Functional_relu_27","Functional_relu_27"
"","LAYER_features_dense_1_7_conv1"
"NN_Conv2d_168","NN_Conv2d_168"
"NN_Conv2d_169","NN_Conv2d_169"
"NN_Conv2d_170","NN_Conv2d_170"
"NN_Conv2d_171","NN_Conv2d_171"
"NN_Conv2d_172","NN_Conv2d_172"
"NN_Conv2d_173","NN_Conv2d_173"
"","LAYER_features_dense_1_7_bn2"
"NN_BatchNorm2d_174","NN_BatchNorm2d_174"
"NN_BatchNorm2d_175","NN_BatchNorm2d_175"
"NN_BatchNorm2d_176","NN_BatchNorm2d_176"
"NN_BatchNorm2d_177","NN_BatchNorm2d_177"
"NN_BatchNorm2d_178","NN_BatchNorm2d_178"
"NN_BatchNorm2d_179","NN_BatchNorm2d_179"
"Functional_relu_28","Functional_relu_28"
"","LAYER_features_dense_1_7_conv2"
"NN_Conv2d_174","NN_Conv2d_174"
"NN_Conv2d_175","NN_Conv2d_175"
"NN_Conv2d_176","NN_Conv2d_176"
"NN_Conv2d_177","NN_Conv2d_177"
"NN_Conv2d_178","NN_Conv2d_178"
"NN_Conv2d_179","NN_Conv2d_179"
"Functional_concat_13","Torch_cat_13
LAYER_features_dense_1_7
LAYER_features_dense_1_8_bn1"
"NN_BatchNorm2d_180","NN_BatchNorm2d_180"
"NN_BatchNorm2d_181","NN_BatchNorm2d_181"
"NN_BatchNorm2d_182","NN_BatchNorm2d_182"
"NN_BatchNorm2d_183","NN_BatchNorm2d_183"
"NN_BatchNorm2d_184","NN_BatchNorm2d_184"
"NN_BatchNorm2d_185","NN_BatchNorm2d_185"
"Functional_relu_29","Functional_relu_29"
"","LAYER_features_dense_1_8_conv1"
"NN_Conv2d_180","NN_Conv2d_180"
"NN_Conv2d_181","NN_Conv2d_181"
"NN_Conv2d_182","NN_Conv2d_182"
"NN_Conv2d_183","NN_Conv2d_183"
"NN_Conv2d_184","NN_Conv2d_184"
"NN_Conv2d_185","NN_Conv2d_185"
"","LAYER_features_dense_1_8_bn2"
